session,sestype,sess_code,group_nb,part,dec_in_part,ind_partner,first_offer,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind_ind_offer_1,ind_ind_offer_2,ind_ind_offer_3,ind_ind_offer_4,ind_ind_offer_5,g_ind_offer_1,g_ind_offer_2,g_ind_offer_3,g_ind_offer_4,g_ind_offer_5,group,1st,2nd,3rd,4th,5th,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age,,
4,DELIBERATION,080215OC,2,2,1,4,7,1,17,13,9,5,4_1,4_17,4_13,4_9,4_5,0,0,1,1,1,,24,19,19,21,0,0,1,1,0,,,,,,0,6,0,0,3,0,0,0,0,3,6,0.666666667,0.666666667,0.666666667,1,0,0.333333333,0.333333333,0.333333333,0,1,0.666666667,0.666666667,0.666666667,0,0,,,,,,,
4,DELIBERATION,080215OC,3,2,1,5,10,6,2,18,14,10,4_6,4_2,4_18,4_14,4_10,1,0,0,1,0,23,20,26,19,21,0,0,1,0,0,,,,,,10,10,8,10,5,10,5,8,10,10,10,0,0,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,0,1,0,0,0,21,26,20.66666667,20.66666667,20.66666667,,
4,DELIBERATION,080215OC,4,2,1,6,9,11,7,3,19,15,4_11,4_7,4_3,4_19,4_15,1,1,1,0,1,19,29,20,18,22,0,1,1,0,0,,,,,,9,7,0,8,9,8,0,7,8,9,9,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,20,29,18,20.5,20.5,,
4,DELIBERATION,080215OC,1,2,2,4,6,16,12,8,4,20,4_16,4_12,4_8,4_4,4_20,1,1,1,0,1,20,21,22,34,18,0,0,0,0,0,,,,,,0,0,3,1,0,0,0,0,0,1,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,19.66666667,19.66666667,19.66666667,34,22,,
4,DELIBERATION,080215OC,2,2,2,5,10,1,17,13,9,5,4_1,4_17,4_13,4_9,4_5,0,0,1,1,1,,24,19,19,21,0,0,1,1,0,,,,,,0,8,0,1,0,0,0,0,0,1,8,0.666666667,0.666666667,0.666666667,1,0,0.333333333,0.333333333,0.333333333,0,1,0.333333333,0.333333333,0.333333333,1,0,,,,,,,
4,DELIBERATION,080215OC,3,2,2,6,10,6,2,18,14,10,4_6,4_2,4_18,4_14,4_10,1,0,0,1,0,23,20,26,19,21,0,0,1,0,0,,,,,,10,10,8,10,10,10,8,10,10,10,10,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0,0,0,0,26,20.75,20.75,20.75,20.75,,
4,DELIBERATION,080215OC,4,2,2,1,5,11,7,3,19,15,4_11,4_7,4_3,4_19,4_15,1,1,1,0,1,19,29,20,18,22,0,1,1,0,0,,,,,,5,3,1,4,5,4,1,3,4,5,5,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,20,29,18,20.5,20.5,,
4,DELIBERATION,080215OC,1,3,1,5,10,11,2,13,4,15,4_11,4_2,4_13,4_4,4_15,1,0,1,0,1,19,20,19,34,22,0,0,1,0,0,,,,,,0,10,0,1,0,0,0,0,0,1,10,1,1,1,0,0,0,0,0,1,1,0.333333333,0.333333333,0.333333333,0,0,20,20,20,34,20,,
4,DELIBERATION,080215OC,2,3,1,6,10,16,7,18,9,20,4_16,4_7,4_18,4_9,4_20,1,1,0,1,1,20,29,26,19,18,0,1,1,1,0,,,,,,0,0,8,0,0,0,0,0,0,0,8,1,1,1,1,0,0,0,0,0,1,0.5,0.5,0.5,0.5,1,21.5,21.5,21.5,21.5,26,,
4,DELIBERATION,080215OC,3,3,1,1,5,1,12,3,14,5,4_1,4_12,4_3,4_14,4_5,0,1,1,1,1,,21,20,19,21,0,0,1,0,0,,,,,,0,0,0,5,0,0,0,0,0,0,5,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,,,,,,,
4,DELIBERATION,080215OC,4,3,1,2,5,6,17,8,19,10,4_6,4_17,4_8,4_19,4_10,1,0,1,0,0,23,24,22,18,21,0,0,0,0,0,,,,,,4,3,3,4,3,3,3,3,3,4,4,0.333333333,0.333333333,0.333333333,0.5,0.5,0.666666667,0.666666667,0.666666667,0.5,0.5,0,0,0,0,0,22.33333333,22.33333333,22.33333333,20.5,20.5,,
4,DELIBERATION,080215OC,1,3,2,6,10,11,2,13,4,15,4_11,4_2,4_13,4_4,4_15,1,0,1,0,1,19,20,19,34,22,0,0,1,0,0,,,,,,0,10,0,4,0,2,0,0,0,4,10,1,1,1,0,0,0,0,0,1,1,0.333333333,0.333333333,0.333333333,0,0,20,20,20,34,20,,
4,DELIBERATION,080215OC,2,3,2,1,5,16,7,18,9,20,4_16,4_7,4_18,4_9,4_20,1,1,0,1,1,20,29,26,19,18,0,1,1,1,0,,,,,,0,2,2,0,0,0,0,0,0,2,2,1,1,1,0.5,0.5,0,0,0,0.5,0.5,0.333333333,0.333333333,0.333333333,1,1,19,19,19,27.5,27.5,,
4,DELIBERATION,080215OC,3,3,2,2,5,1,12,3,14,5,4_1,4_12,4_3,4_14,4_5,0,1,1,1,1,,21,20,19,21,0,0,1,0,0,,,,,,0,0,0,5,0,0,0,0,0,0,5,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,,,,,,,
4,DELIBERATION,080215OC,4,3,2,3,3,6,17,8,19,10,4_6,4_17,4_8,4_19,4_10,1,0,1,0,0,23,24,22,18,21,0,0,0,0,0,,,,,,3,2,0,2,1,2,0,1,2,2,3,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,22,21,21,21,23,,
5,DELIBERATION,080304OK,1,1,1,1,6,1,2,3,4,5,5_1,5_2,5_3,5_4,5_5,1,1,1,0,0,25,19,23,21,22,0,1,1,0,0,,,,,,3,0,5,0,0,0,0,0,0,3,5,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0,1,20.66666667,20.66666667,20.66666667,25,23,,
5,DELIBERATION,080304OK,2,1,1,2,10,6,7,8,9,10,5_6,5_7,5_8,5_9,5_10,1,0,1,0,1,18,20,20,22,22,0,0,0,1,1,,,,,,10,7,7,10,10,10,7,7,10,10,10,0.5,0.5,0.666666667,0.666666667,0.666666667,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,20,20,20.66666667,20.66666667,20.66666667,,
5,DELIBERATION,080304OK,3,1,1,3,8,11,12,13,14,15,5_11,5_12,5_13,5_14,5_15,0,1,0,1,0,19,19,30,21,21,0,0,0,0,1,,,,,,7,8,8,0,0,0,0,0,7,8,8,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,21,21,19,24.5,24.5,,
5,DELIBERATION,080304OK,1,1,2,2,10,1,2,3,4,5,5_1,5_2,5_3,5_4,5_5,1,1,1,0,0,25,19,23,21,22,0,1,1,0,0,,,,,,2,0,10,10,0,0,0,0,2,10,10,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,20.5,20.5,25,22,22,,
5,DELIBERATION,080304OK,2,1,2,3,10,6,7,8,9,10,5_6,5_7,5_8,5_9,5_10,1,0,1,0,1,18,20,20,22,22,0,0,0,1,1,,,,,,10,10,6,10,5,10,5,6,10,10,10,1,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,0,0.333333333,0.333333333,0.333333333,22,20,20,20,20,,
5,DELIBERATION,080304OK,3,1,2,4,7,11,12,13,14,15,5_11,5_12,5_13,5_14,5_15,0,1,0,1,0,19,19,30,21,21,0,0,0,0,1,,,,,,0,0,7,0,0,0,0,0,0,0,7,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.25,0.25,0.25,0.25,0,20,20,20,20,30,,
5,DELIBERATION,080304OK,1,2,1,3,8,11,7,3,14,10,5_11,5_7,5_3,5_14,5_10,0,0,1,1,1,19,20,23,21,22,0,0,1,0,1,,,,,,0,8,6,0,8,0,0,0,6,8,8,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,1,0.5,0.5,20,20,23,21,21,,
5,DELIBERATION,080304OK,2,2,1,4,3,1,12,8,4,15,5_1,5_12,5_8,5_4,5_15,1,1,1,0,0,25,19,20,21,21,0,0,0,0,1,,,,,,0,0,2,0,0,0,0,0,0,0,2,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,0,21.5,21.5,21.5,21.5,20,,
5,DELIBERATION,080304OK,3,2,1,5,8,6,2,13,9,5,5_6,5_2,5_13,5_9,5_5,1,1,0,0,0,18,19,30,22,22,0,1,0,1,0,,,,,,8,0,6,8,0,7,0,0,6,8,8,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0.5,20.5,20.5,30,20,20,,
5,DELIBERATION,080304OK,1,2,2,4,3,11,7,3,14,10,5_11,5_7,5_3,5_14,5_10,0,0,1,1,1,19,20,23,21,22,0,0,1,0,1,,,,,,0,0,0,0,3,0,0,0,0,0,3,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,1,20.75,20.75,20.75,20.75,22,,
5,DELIBERATION,080304OK,2,2,2,5,8,1,12,8,4,15,5_1,5_12,5_8,5_4,5_15,1,1,1,0,0,25,19,20,21,21,0,0,0,0,1,,,,,,2,0,7,0,0,0,0,0,0,2,7,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0,0,20.33333333,20.33333333,20.33333333,25,20,,
5,DELIBERATION,080304OK,3,2,2,6,9,6,2,13,9,5,5_6,5_2,5_13,5_9,5_5,1,1,0,0,0,18,19,30,22,22,0,1,0,1,0,,,,,,7,0,9,9,0,7,0,0,7,9,9,0.5,0.5,1,0,0,0.5,0.5,0,1,1,0.5,0.5,0,0.5,0.5,20.5,20.5,18,26,26,,
5,DELIBERATION,080304OK,1,3,1,5,8,6,12,3,9,15,5_6,5_12,5_3,5_9,5_15,1,1,1,0,0,18,19,23,22,21,0,0,1,1,1,,,,,,7,0,6,7,0,2,0,0,6,7,7,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,20,20,23,20,20,,
5,DELIBERATION,080304OK,2,3,1,6,9,11,2,8,14,5,5_11,5_2,5_8,5_14,5_5,0,1,1,1,0,19,19,20,21,22,0,1,0,0,0,,,,,,0,0,7,0,0,0,0,0,0,0,7,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,0,20.25,20.25,20.25,20.25,20,,
5,DELIBERATION,080304OK,3,3,1,1,8,1,7,13,4,10,5_1,5_7,5_13,5_4,5_10,1,0,0,0,1,25,20,30,21,22,0,0,0,0,1,,,,,,1,8,8,0,5,4,0,1,5,8,8,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,21,25,22,25,25,,
5,DELIBERATION,080304OK,1,3,2,6,9,6,12,3,9,15,5_6,5_12,5_3,5_9,5_15,1,1,1,0,0,18,19,23,22,21,0,0,1,1,1,,,,,,2,0,8,6,0,3,0,0,2,6,8,0.5,0.5,1,0,1,0.5,0.5,0,1,0,0.5,0.5,0,1,1,20,20,18,22,23,,
5,DELIBERATION,080304OK,2,3,2,1,8,11,2,8,14,5,5_11,5_2,5_8,5_14,5_5,0,1,1,1,0,19,19,20,21,22,0,1,0,0,0,,,,,,0,0,3,0,0,0,0,0,0,0,3,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,0,20.25,20.25,20.25,20.25,20,,
5,DELIBERATION,080304OK,3,3,2,2,10,1,7,13,4,10,5_1,5_7,5_13,5_4,5_10,1,0,0,0,1,25,20,30,21,22,0,0,0,0,1,,,,,,1,10,10,10,10,10,1,10,10,10,10,1,0.25,0.25,0.25,0.25,0,0.75,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,25,23.25,23.25,23.25,23.25,,
6,DELIBERATION,101108_1514,1,1,1,,7,1,2,3,4,5,6_1,6_2,6_3,6_4,6_5,1,0,1,1,0,22,22,18,19,20,0,0,0,1,0,,,,,,7,5,4,0,7,7,0,4,5,7,7,1,1,0,0.5,0.5,0,0,1,0.5,0.5,1,0,0,0,0,19,18,22,21,21,,
6,DELIBERATION,101108_1514,2,1,1,,8,6,7,8,9,10,6_6,6_7,6_8,6_9,6_10,0,0,1,0,0,18,19,21,23,18,0,0,0,0,0,,,,,,8,5,8,2,5,4,2,5,5,8,8,0,0,0,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,23,18.5,18.5,19.5,19.5,,
6,DELIBERATION,101108_1514,3,1,1,,5,11,12,13,14,15,6_11,6_12,6_13,6_14,6_15,0,0,0,0,1,20,19,25,20,33,0,1,0,0,0,,,,,,5,2,0,2,3,0,0,2,2,3,5,0,0,0,1,0,1,1,1,0,1,0,0.5,0.5,0,0,25,19.5,19.5,33,20,,
6,DELIBERATION,101108_1514,4,1,2,,10,16,17,18,19,20,6_16,6_17,6_18,6_19,6_20,0,1,1,0,1,18,19,27,19,19,0,0,1,1,0,,,,,,4,0,0,2,10,0,0,0,2,4,10,1,1,0,0,1,0,0,1,1,0,0.5,0.5,1,0,0,23,23,19,18,19,,
6,DELIBERATION,101108_1514,5,1,2,,6,21,22,23,24,25,6_21,6_22,6_23,6_24,6_25,0,1,1,0,1,27,24,23,21,26,0,0,0,0,0,,,,,,5,6,0,5,0,6,0,0,5,5,6,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,24.5,24.5,24,24,24,,
6,DELIBERATION,101108_1514,6,1,2,,10,26,27,28,29,30,6_26,6_27,6_28,6_29,6_30,0,1,1,1,0,20,22,18,20,25,0,1,0,0,0,,,,,,1,0,10,0,10,5,0,0,1,10,10,1,1,0,0.5,0.5,0,0,1,0.5,0.5,0.5,0.5,0,0,0,21,21,20,21.5,21.5,,
6,DELIBERATION,101108_1514,1,1,2,,10,1,2,3,4,5,6_1,6_2,6_3,6_4,6_5,1,0,1,1,0,22,22,18,19,20,0,0,0,1,0,,,,,,8,0,5,0,10,5,0,0,5,8,10,0.5,0.5,1,1,0,0.5,0.5,0,0,1,0.5,0.5,0,0,0,20.5,20.5,18,22,20,,
6,DELIBERATION,101108_1514,2,1,1,,6,6,7,8,9,10,6_6,6_7,6_8,6_9,6_10,0,0,1,0,0,18,19,21,23,18,0,0,0,0,0,,,,,,2,0,0,0,2,0,0,0,0,2,2,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0,0,0,0,0,21,21,21,18,18,,
6,DELIBERATION,101108_1514,3,1,1,,10,11,12,13,14,15,6_11,6_12,6_13,6_14,6_15,0,0,0,0,1,20,19,25,20,33,0,1,0,0,0,,,,,,5,2,0,4,5,0,0,2,4,5,5,0,0,0,0.5,0.5,1,1,1,0.5,0.5,0,1,0,0,0,25,19,20,26.5,26.5,,
6,DELIBERATION,101108_1514,4,1,2,,7,16,17,18,19,20,6_16,6_17,6_18,6_19,6_20,0,1,1,0,1,18,19,27,19,19,0,0,1,1,0,,,,,,1,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,1,0.5,0.5,0.5,0.5,0,21,21,21,21,18,,
6,DELIBERATION,101108_1514,5,1,2,,10,21,22,23,24,25,6_21,6_22,6_23,6_24,6_25,0,1,1,0,1,27,24,23,21,26,0,0,0,0,0,,,,,,10,10,2,8,8,10,2,8,8,10,10,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,23,23.5,23.5,25.5,25.5,,
6,DELIBERATION,101108_1514,6,1,2,,9,26,27,28,29,30,6_26,6_27,6_28,6_29,6_30,0,1,1,1,0,20,22,18,20,25,0,1,0,0,0,,,,,,9,0,9,0,0,3,0,0,0,9,9,0.666666667,0.666666667,0.666666667,0.5,0.5,0.333333333,0.333333333,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0,22.33333333,22.33333333,22.33333333,19,19,,
6,DELIBERATION,101108_1514,1,2,1,,7,26,22,18,14,10,6_26,6_22,6_18,6_14,6_10,0,1,1,0,0,20,24,27,20,18,0,0,1,0,0,,,,,,7,5,0,2,4,0,0,2,4,5,7,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,27,20,18,24,20,,
6,DELIBERATION,101108_1514,2,2,1,,10,1,27,23,19,15,6_1,6_27,6_23,6_19,6_15,1,1,1,0,1,22,22,23,19,33,0,1,0,1,0,,,,,,5,0,5,0,3,0,0,0,3,5,5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,1,1,0,0,0,20.5,20.5,33,22.5,22.5,,
6,DELIBERATION,101108_1514,3,2,1,,7,6,2,28,24,20,6_6,6_2,6_28,6_24,6_20,0,0,1,0,1,18,22,18,21,19,0,0,0,0,0,,,,,,3,0,7,7,0,3,0,0,3,7,7,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0,0,20.5,20.5,18,19.5,19.5,,
6,DELIBERATION,101108_1514,4,2,2,,10,11,7,3,29,25,6_11,6_7,6_3,6_29,6_25,0,0,1,1,1,20,19,18,20,26,0,0,0,0,0,,,,,,0,0,2,0,0,1,0,0,0,0,2,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,21.25,21.25,21.25,21.25,18,,
6,DELIBERATION,101108_1514,5,2,2,,8,16,12,8,4,30,6_16,6_12,6_8,6_4,6_30,0,0,1,1,0,18,19,21,19,25,0,1,0,1,0,,,,,,0,0,3,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.25,1,0.75,0.75,0.75,0.75,0,0.5,0.5,0.5,0.5,0,20.25,20.25,20.25,20.25,21,,
6,DELIBERATION,101108_1514,6,2,2,,8,21,17,13,9,5,6_21,6_17,6_13,6_9,6_5,0,1,0,0,0,27,19,25,23,20,0,0,0,0,0,,,,,,6,0,0,4,8,4,0,0,4,6,8,0.5,0.5,0,0,0,0.5,0.5,1,1,1,0,0,0,0,0,22,22,23,27,20,,
6,DELIBERATION,101108_1514,1,2,2,,10,26,22,18,14,10,6_26,6_22,6_18,6_14,6_10,0,1,1,0,0,20,24,27,20,18,0,0,1,0,0,,,,,,0,10,0,3,7,7,0,0,3,7,10,0.5,0.5,0,0,1,0.5,0.5,1,1,0,0.5,0.5,0,0,0,23.5,23.5,20,18,24,,
6,DELIBERATION,101108_1514,2,2,1,,8,1,27,23,19,15,6_1,6_27,6_23,6_19,6_15,1,1,1,0,1,22,22,23,19,33,0,1,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,23.8,23.8,23.8,23.8,23.8,,
6,DELIBERATION,101108_1514,3,2,1,,10,6,2,28,24,20,6_6,6_2,6_28,6_24,6_20,0,0,1,0,1,18,22,18,21,19,0,0,0,0,0,,,,,,7,0,10,5,10,6,0,5,7,10,10,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,22,21,18,18.5,18.5,,
6,DELIBERATION,101108_1514,4,2,2,,5,11,7,3,29,25,6_11,6_7,6_3,6_29,6_25,0,0,1,1,1,20,19,18,20,26,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,20.6,20.6,20.6,20.6,20.6,,
6,DELIBERATION,101108_1514,5,2,2,,9,16,12,8,4,30,6_16,6_12,6_8,6_4,6_30,0,0,1,1,0,18,19,21,19,25,0,1,0,1,0,,,,,,0,0,0,0,6,0,0,0,0,0,6,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,19.25,19.25,19.25,19.25,25,,
6,DELIBERATION,101108_1514,6,2,2,,8,21,17,13,9,5,6_21,6_17,6_13,6_9,6_5,0,1,0,0,0,27,19,25,23,20,0,0,0,0,0,,,,,,6,0,0,5,8,4,0,0,5,6,8,0.5,0.5,0,0,0,0.5,0.5,1,1,1,0,0,0,0,0,22,22,23,27,20,,
6,DELIBERATION,101108_1514,1,3,1,,7,21,12,3,24,15,6_21,6_12,6_3,6_24,6_15,0,0,1,0,1,27,19,18,21,33,0,1,0,0,0,,,,,,3,0,0,5,0,3,0,0,0,3,5,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,1,1,0.333333333,0.333333333,0.333333333,0,0,23.33333333,23.33333333,23.33333333,27,21,,
6,DELIBERATION,101108_1514,2,3,1,,10,26,17,8,29,20,6_26,6_17,6_8,6_29,6_20,0,1,1,1,1,20,19,21,20,19,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,19.8,19.8,19.8,19.8,19.8,,
6,DELIBERATION,101108_1514,3,3,1,,8,1,22,13,4,25,6_1,6_22,6_13,6_4,6_25,1,1,0,1,1,22,24,25,19,26,0,0,0,1,0,,,,,,0,8,0,0,0,0,0,0,0,0,8,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,23,23,23,23,24,,
6,DELIBERATION,101108_1514,4,3,2,,7,6,27,18,9,30,6_6,6_27,6_18,6_9,6_30,0,1,1,0,0,18,22,27,23,25,0,1,1,0,0,,,,,,1,0,0,2,0,0,0,0,0,1,2,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,24.66666667,24.66666667,24.66666667,18,23,,
6,DELIBERATION,101108_1514,5,3,2,,9,11,2,23,14,5,6_11,6_2,6_23,6_14,6_5,0,0,1,0,0,20,22,23,20,20,0,0,0,0,0,,,,,,0,0,0,2,9,4,0,0,0,2,9,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0,0,0,0,0,21.66666667,21.66666667,21.66666667,20,20,,
6,DELIBERATION,101108_1514,6,3,2,,10,16,7,28,19,10,6_16,6_7,6_28,6_19,6_10,0,0,1,0,0,18,19,18,19,18,0,0,0,1,0,,,,,,0,0,10,0,7,3,0,0,0,7,10,0,0,0,0,1,1,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0,18.66666667,18.66666667,18.66666667,18,18,,
6,DELIBERATION,101108_1514,1,3,2,,10,21,12,3,24,15,6_21,6_12,6_3,6_24,6_15,0,0,1,0,1,27,19,18,21,33,0,1,0,0,0,,,,,,7,2,0,5,0,5,0,0,2,5,7,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,25.5,25.5,19,21,27,,
6,DELIBERATION,101108_1514,2,3,1,,9,26,17,8,29,20,6_26,6_17,6_8,6_29,6_20,0,1,1,1,1,20,19,21,20,19,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,19.8,19.8,19.8,19.8,19.8,,
6,DELIBERATION,101108_1514,3,3,1,,8,1,22,13,4,25,6_1,6_22,6_13,6_4,6_25,1,1,0,1,1,22,24,25,19,26,0,0,0,1,0,,,,,,0,8,0,0,0,0,0,0,0,0,8,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,23,23,23,23,24,,
6,DELIBERATION,101108_1514,4,3,2,,10,6,27,18,9,30,6_6,6_27,6_18,6_9,6_30,0,1,1,0,0,18,22,27,23,25,0,1,1,0,0,,,,,,2,0,0,5,5,2,0,0,2,5,5,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,24.5,24.5,18,24,24,,
6,DELIBERATION,101108_1514,5,3,2,,10,11,2,23,14,5,6_11,6_2,6_23,6_14,6_5,0,0,1,0,0,20,22,23,20,20,0,0,0,0,0,,,,,,0,0,0,2,10,5,0,0,0,2,10,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0,0,0,0,0,21.66666667,21.66666667,21.66666667,20,20,,
6,DELIBERATION,101108_1514,6,3,2,,6,16,7,28,19,10,6_16,6_7,6_28,6_19,6_10,0,0,1,0,0,18,19,18,19,18,0,0,0,1,0,,,,,,0,0,6,0,3,2,0,0,0,3,6,0,0,0,0,1,1,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0,18.66666667,18.66666667,18.66666667,18,18,,
7,DELIBERATION,101109_1300,1,1,2,,5,1,2,3,4,5,7_1,7_2,7_3,7_4,7_5,1,0,0,0,1,19,26,26,25,20,1,1,1,0,0,,,,,,5,0,5,1,5,0,0,1,5,5,5,0,0,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,1,0,0.666666667,0.666666667,0.666666667,26,25,21.66666667,21.66666667,21.66666667,,
7,DELIBERATION,101109_1300,2,1,1,,9,6,7,8,9,10,7_6,7_7,7_8,7_9,7_10,0,1,0,1,1,21,20,22,20,28,0,1,0,0,0,,,,,,7,9,7,9,9,7,7,7,9,9,9,0,0,1,1,1,1,1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,21.5,21.5,22.66666667,22.66666667,22.66666667,,
7,DELIBERATION,101109_1300,3,1,1,,7,11,12,13,14,15,7_11,7_12,7_13,7_14,7_15,1,1,0,0,0,19,21,24,19,29,0,0,0,0,0,,,,,,5,4,4,0,6,0,0,4,4,5,6,0,0.5,0.5,1,0,1,0.5,0.5,0,1,0,0,0,0,0,19,22.5,22.5,19,29,,
7,DELIBERATION,101109_1300,1,1,2,,8,1,2,3,4,5,7_1,7_2,7_3,7_4,7_5,1,0,0,0,1,19,26,26,25,20,1,1,1,0,0,,,,,,7,0,0,0,5,0,0,0,0,5,7,0,0,0,1,1,1,1,1,0,0,0.666666667,0.666666667,0.666666667,0,1,25.66666667,25.66666667,25.66666667,20,19,,
7,DELIBERATION,101109_1300,2,1,2,,8,6,7,8,9,10,7_6,7_7,7_8,7_9,7_10,0,1,0,1,1,21,20,22,20,28,0,1,0,0,0,,,,,,5,7,0,6,0,2,0,0,5,6,7,0.5,0.5,0,1,1,0.5,0.5,1,0,0,0,0,0,0,1,25,25,21,20,20,,
7,DELIBERATION,101109_1300,3,1,2,,5,11,12,13,14,15,7_11,7_12,7_13,7_14,7_15,1,1,0,0,0,19,21,24,19,29,0,0,0,0,0,,,,,,0,1,0,0,4,0,0,0,0,1,4,0.333333333,0.333333333,0.333333333,1,0,0.666666667,0.666666667,0.666666667,0,1,0,0,0,0,0,20.66666667,20.66666667,20.66666667,21,29,,
7,DELIBERATION,101109_1300,1,2,2,,6,11,7,3,14,10,7_11,7_7,7_3,7_14,7_10,1,1,0,0,1,19,20,26,19,28,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,22.4,22.4,22.4,22.4,22.4,,
