session,sestype,sess_code,group_nb,part,dec_in_part,ind_partner,first_offer,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind_ind_offer_1,ind_ind_offer_2,ind_ind_offer_3,ind_ind_offer_4,ind_ind_offer_5,g_ind_offer_1,g_ind_offer_2,g_ind_offer_3,g_ind_offer_4,g_ind_offer_5,group,1st,2nd,3rd,4th,5th,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age,,
2,IMPERSONAL,080208OD,5,2,1,1,10,16,12,8,4,30,2_16,2_12,2_8,2_4,2_30,0,0,1,0,0,18,18,18,18,19,0,0,1,0,0,,,,,,8,0,8,8,8,8,0,8,8,8,8,0,0.25,0.25,0.25,0.25,1,0.75,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,18,18.25,18.25,18.25,18.25,,
2,IMPERSONAL,080208OD,6,2,1,2,10,21,17,13,9,5,2_21,2_17,2_13,2_9,2_5,0,1,1,0,1,19,18,18,21,20,0,0,0,0,0,,,,,,9,10,10,10,10,10,9,10,10,10,10,0,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0,0,0,0,19,19.25,19.25,19.25,19.25,,
2,IMPERSONAL,080208OD,1,2,2,4,10,26,22,18,14,10,2_26,2_22,2_18,2_14,2_10,0,0,0,1,0,22,18,19,18,21,0,0,0,0,0,,,,,,7,5,10,4,7,7,4,5,7,7,10,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,18,18,21.5,21.5,19,,
2,IMPERSONAL,080208OD,2,2,2,5,10,1,27,23,19,15,2_1,2_27,2_23,2_19,2_15,1,1,0,0,1,21,19,21,20,21,1,1,0,0,1,,,,,,1,10,10,10,7,10,1,7,10,10,10,1,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,21,21,20,20,20,,
2,IMPERSONAL,080208OD,3,2,2,6,7,6,2,28,24,20,2_6,2_2,2_28,2_24,2_20,0,1,1,0,1,25,20,19,18,34,0,0,0,0,0,,,,,,6,7,7,3,5,6,3,5,6,7,7,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,18,34,25,19.5,19.5,,
2,IMPERSONAL,080208OD,4,2,2,1,10,11,7,3,29,25,2_11,2_7,2_3,2_29,2_25,0,0,1,1,0,21,20,18,29,22,0,0,0,1,0,,,,,,10,8,10,10,10,10,8,10,10,10,10,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,20,22.5,22.5,22.5,22.5,,
2,IMPERSONAL,080208OD,5,2,2,2,10,16,12,8,4,30,2_16,2_12,2_8,2_4,2_30,0,0,1,0,0,18,18,18,18,19,0,0,1,0,0,,,,,,6,0,6,8,7,6,0,6,6,7,8,0,0.5,0.5,0,0,1,0.5,0.5,1,1,0,0.5,0.5,0,0,18,18,18,19,18,,
2,IMPERSONAL,080208OD,6,2,2,3,10,21,17,13,9,5,2_21,2_17,2_13,2_9,2_5,0,1,1,0,1,19,18,18,21,20,0,0,0,0,0,,,,,,10,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,19.2,19.2,19.2,19.2,19.2,,
2,IMPERSONAL,080208OD,1,3,1,5,5,21,12,3,24,15,2_21,2_12,2_3,2_24,2_15,0,0,1,0,1,19,18,18,18,21,0,0,0,0,1,,,,,,4,0,0,1,0,0,0,0,0,1,4,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,1,1,0.333333333,0.333333333,0.333333333,0,0,19,19,19,18,19,,
2,IMPERSONAL,080208OD,2,3,1,6,8,26,17,8,29,20,2_26,2_17,2_8,2_29,2_20,0,1,1,1,1,22,18,18,29,34,0,0,1,1,0,,,,,,5,7,6,8,7,6,5,6,7,7,8,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,22,18,26,26,29,,
