session	phase	dec_in_phase	group_nb	group_id	session_ind	ind_id	ind_partner	first_offer	ind_ind	ind_g	group_dec	ind_ind_norm	ind_g_norm	group_dec_norm	absdiff_group_ind	ind_g_is_1st	ind_g_is_2nd	ind_g_is_3rd	ind_g_is_4th	ind_g_is_5th	pr_ind_g_norm	pr_group_dec_norm	pr_diff_group_ind	pr_i_was_1st	pr_i_was_2nd	pr_i_was_3rd	pr_i_was_4th	pr_i_was_5th	pr_i_was_1st_x_pr_diff_group_ind	pr_i_was_2nd_x_pr_diff_group_ind	pr_i_was_3rd_x_pr_diff_group_ind	pr_i_was_4th_x_pr_diff_group_ind	pr_i_was_5th_x_pr_diff_group_ind
1	2	1	1	121	20	120	3	7		0	7		-7	0	7	1	0	0	0	0	-3	-1	2	1	1	0	0	0	2	2	0	0	0
1	2	1	2	122	1	101	4	10		0	3		-10	-7	3	0.5	0.5	0	0	0	-6	-6	0	1	1	1	0	0	0	0	0	0	0
1	2	1	2	122	5	105	4	10		0	3		-10	-7	3	0.5	0.5	0	0	0	-6	-6	0	1	1	1	0	0	0	0	0	0	0
1	2	1	2	122	9	109	4	10		10	3		0	-7	7	0	0	0	0.5	0.5	-1	0	1	1	1	0	0	0	1	1	0	0	0
1	2	1	2	122	13	113	4	10		5	3		-5	-7	2	0	0	1	0	0	-10	-9	1	1	1	1	0	0	1	1	1	0	0
1	2	1	2	122	17	117	4	10		10	3		0	-7	7	0	0	0	0.5	0.5	-1	-1	0	0	0	1	1	0	0	0	0	0	0
1	2	1	3	123	2	102	5	3		0	0		-3	-3	0	0.2	0.2	0.2	0.2	0.2	-6	-6	0	1	1	1	0	0	0	0	0	0	0
1	2	1	3	123	6	106	5	3		0	0		-3	-3	0	0.2	0.2	0.2	0.2	0.2	-1	0	1	1	1	0	0	0	1	1	0	0	0
1	2	1	3	123	10	110	5	3		0	0		-3	-3	0	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0	1	1	1	0	0	0	0	0
1	2	1	3	123	14	114	5	3		0	0		-3	-3	0	0.2	0.2	0.2	0.2	0.2	-10	-9	1	1	1	1	0	0	1	1	1	0	0
1	2	1	3	123	18	118	5	3		0	0		-3	-3	0	0.2	0.2	0.2	0.2	0.2	-1	-1	0	0	0	1	1	0	0	0	0	0	0
1	2	1	4	124	3	103	6	8		0	5		-8	-3	5	0.5	0.5	0	0	0	-5	-6	-1	0	0	0	1	0	0	0	0	-1	0
1	2	1	4	124	7	107	6	8		8	5		0	-3	3	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
1	2	1	4	124	11	111	6	8		4	5		-4	-3	1	0	0	1	0	0	-4	-9	-5	0	0	0	0	1	0	0	0	0	-5
1	2	1	4	124	15	115	6	8		0	5		-8	-3	5	0.5	0.5	0	0	0	-10	-9	1	1	1	1	0	0	1	1	1	0	0
1	2	1	4	124	19	119	6	8		5	5		-3	-3	0	0	0	0	1	0	-3	-1	2	1	1	0	0	0	2	2	0	0	0
1	2	2	1	121	4	104	4	10		9	9		-1	-1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
1	2	2	1	121	8	108	4	10		10	9		0	-1	1	0	0	0	0.5	0.5	0	0	0	0	1	1	1	0	0	0	0	0	0
1	2	2	1	121	12	112	4	10		5	9		-5	-1	4	0	1	0	0	0	3	0	-3	0	0	0	0	1	0	0	0	0	-3
1	2	2	1	121	16	116	4	10		10	9		0	-1	1	0	0	0	0.5	0.5	0	0	0	0	1	1	1	0	0	0	0	0	0
1	2	2	1	121	20	120	4	10		0	9		-10	-1	9	1	0	0	0	0	-7	0	7	1	0	0	0	0	7	0	0	0	0
1	2	2	2	122	1	101	5	3		0	1		-3	-2	1	0.3333333	0.3333333	0.3333333	0	0	-10	-7	3	1	1	0	0	0	3	3	0	0	0
1	2	2	2	122	5	105	5	3		0	1		-3	-2	1	0.3333333	0.3333333	0.3333333	0	0	-10	-7	3	1	1	0	0	0	3	3	0	0	0
1	2	2	2	122	9	109	5	3		2	1		-1	-2	1	0	0	0	1	0	0	-7	-7	0	0	0	1	1	0	0	0	-7	-7
1	2	2	2	122	13	113	5	3		0	1		-3	-2	1	0.3333333	0.3333333	0.3333333	0	0	-5	-7	-2	0	0	1	0	0	0	0	-2	0	0
1	2	2	2	122	17	117	5	3		3	1		0	-2	2	0	0	0	0	1	0	-7	-7	0	0	0	1	1	0	0	0	-7	-7
1	2	2	3	123	2	102	6	9		0	0		-9	-9	0	0.25	0.25	0.25	0.25	0	-3	-3	0	1	1	1	1	1	0	0	0	0	0
1	2	2	3	123	6	106	6	9		0	0		-9	-9	0	0.25	0.25	0.25	0.25	0	-3	-3	0	1	1	1	1	1	0	0	0	0	0
1	2	2	3	123	10	110	6	9		8	0		-1	-9	8	0	0	0	0	1	-3	-3	0	1	1	1	1	1	0	0	0	0	0
1	2	2	3	123	14	114	6	9		0	0		-9	-9	0	0.25	0.25	0.25	0.25	0	-3	-3	0	1	1	1	1	1	0	0	0	0	0
1	2	2	3	123	18	118	6	9		0	0		-9	-9	0	0.25	0.25	0.25	0.25	0	-3	-3	0	1	1	1	1	1	0	0	0	0	0
1	2	2	4	124	3	103	1	6		0	1		-6	-5	1	0.3333333	0.3333333	0.3333333	0	0	-8	-3	5	1	1	0	0	0	5	5	0	0	0
1	2	2	4	124	7	107	1	6		6	1		0	-5	5	0	0	0	0	1	0	-3	-3	0	0	0	0	1	0	0	0	0	-3
1	2	2	4	124	11	111	1	6		5	1		-1	-5	4	0	0	0	1	0	-4	-3	1	0	0	1	0	0	0	0	1	0	0
1	2	2	4	124	15	115	1	6		0	1		-6	-5	1	0.3333333	0.3333333	0.3333333	0	0	-8	-3	5	1	1	0	0	0	5	5	0	0	0
1	2	2	4	124	19	119	1	6		0	1		-6	-5	1	0.3333333	0.3333333	0.3333333	0	0	-3	-3	0	0	0	0	1	0	0	0	0	0	0
1	3	1	1	131	2	102	5	3		0	0		-3	-3	0	0.25	0.25	0.25	0.25	0	-9	-9	0	1	1	1	1	0	0	0	0	0	0
1	3	1	1	131	4	104	5	3		2	0		-1	-3	2	0	0	0	0	1	-1	-1	0	0	0	1	0	0	0	0	0	0	0
1	3	1	1	131	11	111	5	3		0	0		-3	-3	0	0.25	0.25	0.25	0.25	0	-1	-5	-4	0	0	0	1	0	0	0	0	-4	0
1	3	1	1	131	13	113	5	3		0	0		-3	-3	0	0.25	0.25	0.25	0.25	0	-3	-2	1	1	1	1	0	0	1	1	1	0	0
1	3	1	1	131	15	115	5	3		0	0		-3	-3	0	0.25	0.25	0.25	0.25	0	-6	-5	1	1	1	1	0	0	1	1	1	0	0
1	3	1	2	132	7	107	6	9		9	8		0	-1	1	0	0	0.3333333	0.3333333	0.3333333	0	-5	-5	0	0	0	0	1	0	0	0	0	-5
1	3	1	2	132	9	109	6	9		9	8		0	-1	1	0	0	0.3333333	0.3333333	0.3333333	-1	-2	-1	0	0	0	1	0	0	0	0	-1	0
1	3	1	2	132	16	116	6	9		9	8		0	-1	1	0	0	0.3333333	0.3333333	0.3333333	0	-1	-1	0	0	0	1	1	0	0	0	-1	-1
