session,sestype,sess_code,group_nb,part,dec,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind1,ind2,ind3,ind4,ind5,s1,s2,s3,s4,s5,gr,1st,2nd,3rd,4th,5th,1sti,2ndi,3rdi,4thi,5thi,gri,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age
2,IMPERSONAL,080208OD,2,1,5,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,0,0,19.66666667,19.66666667,19.66666667,23,23
2,IMPERSONAL,080208OD,2,1,6,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,20.5,20.5,21.33333333,21.33333333,21.33333333
2,IMPERSONAL,080208OD,2,1,7,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,20.5,20.5,21.33333333,21.33333333,21.33333333
2,IMPERSONAL,080208OD,2,1,8,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.666666667,0.666666667,0,0,0.333333333,0.333333333,0.333333333,20.5,20.5,21.33333333,21.33333333,21.33333333
2,IMPERSONAL,080208OD,2,1,9,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,21,21,21,21,21
2,IMPERSONAL,080208OD,2,1,10,6,7,8,9,10,2_6,2_7,2_8,2_9,2_10,0,0,1,0,0,25,20,18,21,21,0,0,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,21,21,21,21,21
2,IMPERSONAL,080208OD,3,1,1,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,2,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,3,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
2,IMPERSONAL,080208OD,3,1,4,11,12,13,14,15,2_11,2_12,2_13,2_14,2_15,0,0,1,1,1,21,18,18,18,21,0,0,0,0,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,19.2,19.2,19.2,19.2,19.2
